language,model,audio_path,utmos_score
english,bark,audio/english/bark_00.wav,4.017
english,bark,audio/english/bark_01.wav,3.771
english,bark,audio/english/bark_02.wav,4.142
english,bark,audio/english/bark_03.wav,4.054
english,bark,audio/english/bark_04.wav,3.584
english,bark,audio/english/bark_05.wav,3.595
english,bark,audio/english/bark_06.wav,3.522
english,bark,audio/english/bark_07.wav,3.697
english,bark,audio/english/bark_08.wav,3.256
english,bark,audio/english/bark_09.wav,3.598
english,chatterbox,audio/english/chatterbox_00.wav,4.442
english,chatterbox,audio/english/chatterbox_01.wav,4.45
english,chatterbox,audio/english/chatterbox_02.wav,4.465
english,chatterbox,audio/english/chatterbox_03.wav,4.45
english,chatterbox,audio/english/chatterbox_04.wav,4.389
english,chatterbox,audio/english/chatterbox_05.wav,4.416
english,chatterbox,audio/english/chatterbox_06.wav,4.352
english,chatterbox,audio/english/chatterbox_07.wav,4.472
english,chatterbox,audio/english/chatterbox_08.wav,4.434
english,chatterbox,audio/english/chatterbox_09.wav,4.475
english,f5_tts,audio/english/f5_tts_00.wav,4.462
english,f5_tts,audio/english/f5_tts_01.wav,4.402
english,f5_tts,audio/english/f5_tts_02.wav,3.928
english,f5_tts,audio/english/f5_tts_03.wav,3.974
english,f5_tts,audio/english/f5_tts_04.wav,4.386
english,f5_tts,audio/english/f5_tts_05.wav,4.338
english,f5_tts,audio/english/f5_tts_06.wav,4.346
english,f5_tts,audio/english/f5_tts_07.wav,4.407
english,f5_tts,audio/english/f5_tts_08.wav,4.298
english,f5_tts,audio/english/f5_tts_09.wav,4.504
english,kokoro,audio/english/kokoro_00.wav,4.513
english,kokoro,audio/english/kokoro_01.wav,4.517
english,kokoro,audio/english/kokoro_02.wav,4.537
english,kokoro,audio/english/kokoro_03.wav,4.523
english,kokoro,audio/english/kokoro_04.wav,4.526
english,kokoro,audio/english/kokoro_05.wav,4.49
english,kokoro,audio/english/kokoro_06.wav,4.508
english,kokoro,audio/english/kokoro_07.wav,4.513
english,kokoro,audio/english/kokoro_08.wav,4.485
english,kokoro,audio/english/kokoro_09.wav,4.505
english,openvoice,audio/english/openvoice_00.wav,3.756
english,openvoice,audio/english/openvoice_01.wav,4.423
english,openvoice,audio/english/openvoice_02.wav,3.956
english,openvoice,audio/english/openvoice_03.wav,4.031
english,openvoice,audio/english/openvoice_04.wav,4.081
english,openvoice,audio/english/openvoice_05.wav,3.721
english,openvoice,audio/english/openvoice_06.wav,4.337
english,openvoice,audio/english/openvoice_07.wav,3.982
english,openvoice,audio/english/openvoice_08.wav,3.984
english,openvoice,audio/english/openvoice_09.wav,3.958
english,xtts_v2,audio/english/xtts_v2_00.wav,4.251
english,xtts_v2,audio/english/xtts_v2_01.wav,3.881
english,xtts_v2,audio/english/xtts_v2_02.wav,4.432
english,xtts_v2,audio/english/xtts_v2_03.wav,4.201
english,xtts_v2,audio/english/xtts_v2_04.wav,4.348
english,xtts_v2,audio/english/xtts_v2_05.wav,3.828
english,xtts_v2,audio/english/xtts_v2_06.wav,4.293
english,xtts_v2,audio/english/xtts_v2_07.wav,4.288
english,xtts_v2,audio/english/xtts_v2_08.wav,3.59
english,xtts_v2,audio/english/xtts_v2_09.wav,4.282
arabic,bark,audio/arabic/bark_00.wav,3.524
arabic,bark,audio/arabic/bark_01.wav,3.065
arabic,bark,audio/arabic/bark_02.wav,3.212
arabic,bark,audio/arabic/bark_03.wav,2.919
arabic,bark,audio/arabic/bark_04.wav,3.457
arabic,bark,audio/arabic/bark_05.wav,1.611
arabic,bark,audio/arabic/bark_06.wav,2.623
arabic,bark,audio/arabic/bark_07.wav,3.178
arabic,bark,audio/arabic/bark_08.wav,3.434
arabic,bark,audio/arabic/bark_09.wav,2.55
arabic,f5_tts,audio/arabic/f5_tts_00.wav,3.964
arabic,f5_tts,audio/arabic/f5_tts_01.wav,3.926
arabic,f5_tts,audio/arabic/f5_tts_02.wav,4.295
arabic,f5_tts,audio/arabic/f5_tts_03.wav,4.397
arabic,f5_tts,audio/arabic/f5_tts_04.wav,4.224
arabic,f5_tts,audio/arabic/f5_tts_05.wav,4.469
arabic,f5_tts,audio/arabic/f5_tts_06.wav,4.178
arabic,f5_tts,audio/arabic/f5_tts_07.wav,4.26
arabic,f5_tts,audio/arabic/f5_tts_08.wav,3.648
arabic,f5_tts,audio/arabic/f5_tts_09.wav,4.376
arabic,mms_tts,audio/arabic/mms_tts_00.wav,3.347
arabic,mms_tts,audio/arabic/mms_tts_01.wav,3.133
arabic,mms_tts,audio/arabic/mms_tts_02.wav,3.55
arabic,mms_tts,audio/arabic/mms_tts_03.wav,3.611
arabic,mms_tts,audio/arabic/mms_tts_04.wav,3.317
arabic,mms_tts,audio/arabic/mms_tts_05.wav,3.259
arabic,mms_tts,audio/arabic/mms_tts_06.wav,2.629
arabic,mms_tts,audio/arabic/mms_tts_07.wav,3.625
arabic,mms_tts,audio/arabic/mms_tts_08.wav,3.131
arabic,mms_tts,audio/arabic/mms_tts_09.wav,3.784
arabic,xtts_v2,audio/arabic/xtts_v2_00.wav,3.444
arabic,xtts_v2,audio/arabic/xtts_v2_01.wav,3.124
arabic,xtts_v2,audio/arabic/xtts_v2_02.wav,3.179
arabic,xtts_v2,audio/arabic/xtts_v2_03.wav,3.292
arabic,xtts_v2,audio/arabic/xtts_v2_04.wav,3.288
arabic,xtts_v2,audio/arabic/xtts_v2_05.wav,2.812
arabic,xtts_v2,audio/arabic/xtts_v2_06.wav,2.767
arabic,xtts_v2,audio/arabic/xtts_v2_07.wav,3.021
arabic,xtts_v2,audio/arabic/xtts_v2_08.wav,3.23
arabic,xtts_v2,audio/arabic/xtts_v2_09.wav,3.039
hindi,bark,audio/hindi/bark_00.wav,2.794
hindi,bark,audio/hindi/bark_01.wav,2.775
hindi,bark,audio/hindi/bark_02.wav,2.818
hindi,bark,audio/hindi/bark_03.wav,2.309
hindi,bark,audio/hindi/bark_04.wav,2.524
hindi,bark,audio/hindi/bark_05.wav,2.817
hindi,bark,audio/hindi/bark_06.wav,3.082
hindi,bark,audio/hindi/bark_07.wav,2.899
hindi,bark,audio/hindi/bark_08.wav,2.676
hindi,bark,audio/hindi/bark_09.wav,3.258
hindi,f5_tts,audio/hindi/f5_tts_00.wav,4.184
hindi,f5_tts,audio/hindi/f5_tts_01.wav,4.022
hindi,f5_tts,audio/hindi/f5_tts_02.wav,4.457
hindi,f5_tts,audio/hindi/f5_tts_03.wav,4.333
hindi,f5_tts,audio/hindi/f5_tts_04.wav,3.894
hindi,f5_tts,audio/hindi/f5_tts_05.wav,4.439
hindi,f5_tts,audio/hindi/f5_tts_06.wav,4.188
hindi,f5_tts,audio/hindi/f5_tts_07.wav,4.181
hindi,f5_tts,audio/hindi/f5_tts_08.wav,4.329
hindi,f5_tts,audio/hindi/f5_tts_09.wav,4.451
hindi,indic_parler,audio/hindi/indic_parler_00.wav,1.255
hindi,indic_parler,audio/hindi/indic_parler_01.wav,1.287
hindi,indic_parler,audio/hindi/indic_parler_02.wav,1.402
hindi,indic_parler,audio/hindi/indic_parler_03.wav,1.229
hindi,indic_parler,audio/hindi/indic_parler_04.wav,1.318
hindi,indic_parler,audio/hindi/indic_parler_05.wav,1.32
hindi,indic_parler,audio/hindi/indic_parler_06.wav,1.334
hindi,indic_parler,audio/hindi/indic_parler_07.wav,1.225
hindi,indic_parler,audio/hindi/indic_parler_08.wav,1.286
hindi,indic_parler,audio/hindi/indic_parler_09.wav,1.35
hindi,kokoro,audio/hindi/kokoro_00.wav,4.326
hindi,kokoro,audio/hindi/kokoro_01.wav,4.348
hindi,kokoro,audio/hindi/kokoro_02.wav,4.34
hindi,kokoro,audio/hindi/kokoro_03.wav,4.278
hindi,kokoro,audio/hindi/kokoro_04.wav,4.056
hindi,kokoro,audio/hindi/kokoro_05.wav,4.268
hindi,kokoro,audio/hindi/kokoro_06.wav,4.442
hindi,kokoro,audio/hindi/kokoro_07.wav,3.968
hindi,kokoro,audio/hindi/kokoro_08.wav,4.318
hindi,kokoro,audio/hindi/kokoro_09.wav,4.326
hindi,mms_tts,audio/hindi/mms_tts_00.wav,3.76
hindi,mms_tts,audio/hindi/mms_tts_01.wav,3.709
hindi,mms_tts,audio/hindi/mms_tts_02.wav,3.492
hindi,mms_tts,audio/hindi/mms_tts_03.wav,3.371
hindi,mms_tts,audio/hindi/mms_tts_04.wav,3.535
hindi,mms_tts,audio/hindi/mms_tts_05.wav,3.682
hindi,mms_tts,audio/hindi/mms_tts_06.wav,3.701
hindi,mms_tts,audio/hindi/mms_tts_07.wav,3.175
hindi,mms_tts,audio/hindi/mms_tts_08.wav,3.814
hindi,mms_tts,audio/hindi/mms_tts_09.wav,3.825
hindi,xtts_v2,audio/hindi/xtts_v2_00.wav,2.958
hindi,xtts_v2,audio/hindi/xtts_v2_01.wav,2.844
hindi,xtts_v2,audio/hindi/xtts_v2_02.wav,3.206
hindi,xtts_v2,audio/hindi/xtts_v2_03.wav,2.995
hindi,xtts_v2,audio/hindi/xtts_v2_04.wav,2.515
hindi,xtts_v2,audio/hindi/xtts_v2_05.wav,2.596
hindi,xtts_v2,audio/hindi/xtts_v2_06.wav,2.783
hindi,xtts_v2,audio/hindi/xtts_v2_07.wav,2.599
hindi,xtts_v2,audio/hindi/xtts_v2_08.wav,3.057
hindi,xtts_v2,audio/hindi/xtts_v2_09.wav,2.987
