language,model,audio_path,human_mos,rater
english,xtts_v2,audio/english/xtts_v2_00.wav,5,self
english,xtts_v2,audio/english/xtts_v2_01.wav,4,self
english,xtts_v2,audio/english/xtts_v2_02.wav,5,self
english,xtts_v2,audio/english/xtts_v2_03.wav,4,self
english,xtts_v2,audio/english/xtts_v2_04.wav,5,self
english,xtts_v2,audio/english/xtts_v2_05.wav,4,self
english,xtts_v2,audio/english/xtts_v2_06.wav,5,self
english,xtts_v2,audio/english/xtts_v2_07.wav,5,self
english,xtts_v2,audio/english/xtts_v2_08.wav,5,self
english,xtts_v2,audio/english/xtts_v2_09.wav,5,self
arabic,xtts_v2,audio/arabic/xtts_v2_00.wav,4,self
arabic,xtts_v2,audio/arabic/xtts_v2_01.wav,5,self
arabic,xtts_v2,audio/arabic/xtts_v2_02.wav,3,self
arabic,xtts_v2,audio/arabic/xtts_v2_03.wav,5,self
arabic,xtts_v2,audio/arabic/xtts_v2_04.wav,4,self
arabic,xtts_v2,audio/arabic/xtts_v2_05.wav,5,self
arabic,xtts_v2,audio/arabic/xtts_v2_06.wav,4,self
arabic,xtts_v2,audio/arabic/xtts_v2_07.wav,5,self
arabic,xtts_v2,audio/arabic/xtts_v2_08.wav,4,self
arabic,xtts_v2,audio/arabic/xtts_v2_09.wav,5,self
hindi,xtts_v2,audio/hindi/xtts_v2_00.wav,5,self
hindi,xtts_v2,audio/hindi/xtts_v2_01.wav,4,self
hindi,xtts_v2,audio/hindi/xtts_v2_02.wav,5,self
hindi,xtts_v2,audio/hindi/xtts_v2_03.wav,3,self
hindi,xtts_v2,audio/hindi/xtts_v2_04.wav,5,self
hindi,xtts_v2,audio/hindi/xtts_v2_05.wav,4,self
hindi,xtts_v2,audio/hindi/xtts_v2_06.wav,4,self
hindi,xtts_v2,audio/hindi/xtts_v2_07.wav,5,self
hindi,xtts_v2,audio/hindi/xtts_v2_08.wav,5,self
hindi,xtts_v2,audio/hindi/xtts_v2_09.wav,4,self
english,bark,audio/english/bark_00.wav,4,panel
english,bark,audio/english/bark_01.wav,3,panel
english,bark,audio/english/bark_02.wav,4,panel
english,bark,audio/english/bark_03.wav,3,panel
english,bark,audio/english/bark_04.wav,4,panel
english,bark,audio/english/bark_05.wav,4,panel
english,bark,audio/english/bark_06.wav,4,panel
english,bark,audio/english/bark_07.wav,3,panel
english,bark,audio/english/bark_08.wav,4,panel
english,bark,audio/english/bark_09.wav,4,panel
arabic,bark,audio/arabic/bark_00.wav,4,panel
arabic,bark,audio/arabic/bark_01.wav,4,panel
arabic,bark,audio/arabic/bark_02.wav,3,panel
arabic,bark,audio/arabic/bark_03.wav,4,panel
arabic,bark,audio/arabic/bark_04.wav,3,panel
arabic,bark,audio/arabic/bark_05.wav,3,panel
arabic,bark,audio/arabic/bark_06.wav,3,panel
arabic,bark,audio/arabic/bark_07.wav,4,panel
arabic,bark,audio/arabic/bark_08.wav,4,panel
arabic,bark,audio/arabic/bark_09.wav,3,panel
hindi,bark,audio/hindi/bark_00.wav,3,panel
hindi,bark,audio/hindi/bark_01.wav,4,panel
hindi,bark,audio/hindi/bark_02.wav,4,panel
hindi,bark,audio/hindi/bark_03.wav,4,panel
hindi,bark,audio/hindi/bark_04.wav,3,panel
hindi,bark,audio/hindi/bark_05.wav,3,panel
hindi,bark,audio/hindi/bark_06.wav,4,panel
hindi,bark,audio/hindi/bark_07.wav,3,panel
hindi,bark,audio/hindi/bark_08.wav,3,panel
hindi,bark,audio/hindi/bark_09.wav,3,panel
english,kokoro,audio/english/kokoro_00.wav,4,panel
english,kokoro,audio/english/kokoro_01.wav,4,panel
english,kokoro,audio/english/kokoro_02.wav,4,panel
english,kokoro,audio/english/kokoro_03.wav,4,panel
english,kokoro,audio/english/kokoro_04.wav,4,panel
english,kokoro,audio/english/kokoro_05.wav,4,panel
english,kokoro,audio/english/kokoro_06.wav,4,panel
english,kokoro,audio/english/kokoro_07.wav,4,panel
english,kokoro,audio/english/kokoro_08.wav,4,panel
english,kokoro,audio/english/kokoro_09.wav,4,panel
hindi,kokoro,audio/hindi/kokoro_00.wav,4,panel
hindi,kokoro,audio/hindi/kokoro_01.wav,4,panel
hindi,kokoro,audio/hindi/kokoro_02.wav,4,panel
hindi,kokoro,audio/hindi/kokoro_03.wav,4,panel
hindi,kokoro,audio/hindi/kokoro_04.wav,4,panel
hindi,kokoro,audio/hindi/kokoro_05.wav,4,panel
hindi,kokoro,audio/hindi/kokoro_06.wav,5,panel
hindi,kokoro,audio/hindi/kokoro_07.wav,5,panel
